name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_county,gnis_latitude,gnis_longitude,latitude,longitude,state_full,state_latitude,state_longitude
INK,INK,MO,Shannon,1885.0,1954.0,True,1.0,28519,True,69.0,True,INK,MO,740954.0,Populated Place,Shannon,37.2581019,-91.4837507,37.2581019,-91.4837507,Missouri,38.29739780113773,-92.40621321592816
INZA,INZA,MO,Buchanan,1902.0,1915.0,True,4.0,28569,True,13.0,True,INZA,MO,739997.0,Populated Place,Buchanan,39.7141612,-94.8835769,39.7141612,-94.8835769,Missouri,38.29739780113773,-92.40621321592816
IONA,IONA,MO,Cape Girardeau,1877.0,1879.0,True,7.0,28579,True,2.0,True,IONA,MO,720153.0,Cemetery,Cape Girardeau,37.4401204,-89.5023156,37.4401204,-89.5023156,Missouri,38.29739780113773,-92.40621321592816
IRA,IRA,MO,Laclede,1899.0,1949.0,True,1.0,28606,True,50.0,True,IRA,MO,720158.0,Populated Place,Laclede,37.8728143,-92.8496289,37.8728143,-92.8496289,Missouri,38.29739780113773,-92.40621321592816
IRENA,IRENA,MO,Worth,1883.0,1932.0,True,2.0,28628,True,49.0,True,IRENA,MO,740956.0,Populated Place,Worth,40.5497137,-94.3913471,40.5497137,-94.3913471,Missouri,38.29739780113773,-92.40621321592816
IRISH GROVE,IRISH GROVE,MO,Atchison,1850.0,1877.0,True,5.0,28645,True,27.0,True,IRISH GROVE,MO,741071.0,Populated Place,Atchison,40.2847198,-95.4172027,40.2847198,-95.4172027,Missouri,38.29739780113773,-92.40621321592816
IRMA,IRMA,MO,Taney,1901.0,1911.0,True,4.0,28651,True,10.0,True,IRMA,MO,753064.0,Populated Place,Taney,36.7458935,-93.2812944,36.7458935,-93.2812944,Missouri,38.29739780113773,-92.40621321592816
IRON MOUNTAIN,IRON MOUNTAIN,MO,St. Francois,1846.0,1978.0,False,1.0,28666,True,132.0,True,IRON MOUNTAIN,MO,756212.0,Populated Place,St. Francois,37.6953277,-90.6404025,37.6953277,-90.6404025,Missouri,38.29739780113773,-92.40621321592816
IRON RIDGE,IRON RIDGE,MO,Crawford,1872.0,1881.0,True,6.0,28667,True,9.0,True,IRON RIDGE,MO,720167.0,School,Crawford,38.0705996,-91.4873765,38.0705996,-91.4873765,Missouri,38.29739780113773,-92.40621321592816
IRON SUMMIT,IRON SUMMIT,MO,Pulaski,1872.0,1879.0,True,5.0,28671,True,7.0,True,IRON SUMMIT,MO,729507.0,Populated Place,Pulaski,37.986428,-92.1818363,37.986428,-92.1818363,Missouri,38.29739780113773,-92.40621321592816
IRWIN,IRWIN,MO,Barton,1884.0,1981.0,True,1.0,28717,True,97.0,True,IRWIN,MO,720173.0,Populated Place,Barton,37.5886563,-94.2855035,37.5886563,-94.2855035,Missouri,38.29739780113773,-92.40621321592816
ISADORA,ISADORA,MO,Worth,1866.0,1951.0,True,1.0,28738,True,85.0,True,ISADORA,MO,730122.0,Populated Place,Worth,40.5258231,-94.5177387,40.5258231,-94.5177387,Missouri,38.29739780113773,-92.40621321592816
ISBELL STATION,ISBELL STATION,MO,Osage,1889.0,1941.0,True,2.0,28742,True,52.0,True,ISBELL STATION,MO,740037.0,Populated Place,Osage,38.6169856,-91.9104561,38.6169856,-91.9104561,Missouri,38.29739780113773,-92.40621321592816
ISHMAEL,ISHMAEL,MO,Washington,1929.0,1953.0,True,1.0,28751,True,24.0,True,ISHMAEL,MO,753387.0,Populated Place,Washington,37.8061571,-91.0568009,37.8061571,-91.0568009,Missouri,38.29739780113773,-92.40621321592816
ISLAND CITY,ISLAND CITY,MO,Gentry,1858.0,1906.0,True,4.0,28760,True,48.0,True,ISLAND CITY,MO,740957.0,Populated Place,Gentry,40.1455493,-94.5710719,40.1455493,-94.5710719,Missouri,38.29739780113773,-92.40621321592816
IUKA SPRINGS,IUKA SPRINGS,MO,St. Clair,1887.0,1903.0,True,5.0,28835,True,16.0,True,IUKA SPRINGS,MO,756218.0,Populated Place,St. Clair,38.0975287,-93.9213275,38.0975287,-93.9213275,Missouri,38.29739780113773,-92.40621321592816
IVY,IVY,MO,Cedar,1888.0,1908.0,True,5.0,28863,True,20.0,True,IVY,MO,740054.0,Populated Place,Cedar,37.771149,-93.8654912,37.771149,-93.8654912,Missouri,38.29739780113773,-92.40621321592816
IVY,IVY,MO,Wayne,1886.0,1887.0,True,6.0,28864,True,1.0,True,IVY,MO,743385.0,Cemetery,Wayne,37.2515041,-90.2204719,37.2515041,-90.2204719,Missouri,38.29739780113773,-92.40621321592816
JACK,JACK,MO,Dent,1905.0,1954.0,True,1.0,28896,True,49.0,True,JACK,MO,735668.0,Populated Place,Dent,37.5761549,-91.6212597,37.5761549,-91.6212597,Missouri,38.29739780113773,-92.40621321592816
JACKET,JACKET,MO,McDonald,1911.0,1930.0,True,2.0,28903,True,19.0,True,JACKET,MO,740959.0,Populated Place,McDonald,36.5103506,-94.1079822,36.5103506,-94.1079822,Missouri,38.29739780113773,-92.40621321592816
JACKS FORK,JACKS FORK,MO,Shannon,1917.0,1954.0,True,1.0,28916,True,37.0,True,JACKS FORK,MO,735969.0,Locale,Shannon,37.1833813,-91.2667991,37.1833813,-91.2667991,Missouri,38.29739780113773,-92.40621321592816
JACKSON COURT HOUSE,JACKSON COURT HOUSE,MO,Jackson,1827.0,1827.0,True,8.0,28942,True,0.0,True,JACKSON,MO,758502.0,Civil,Jackson,39.0084757,-94.3461008,39.0084757,-94.3461008,Missouri,38.29739780113773,-92.40621321592816
JACKSON POINT,JACKSON POINT,MO,Holt,1850.0,1854.0,True,6.0,28953,True,4.0,True,JACKSONS POINT,MO,730155.0,Populated Place,Holt,40.1311066,-95.2316428,40.1311066,-95.2316428,Missouri,38.29739780113773,-92.40621321592816
JACKSON'S CORNERS,JACKSON'S CORNERS,MO,Sullivan,1856.0,1876.0,True,5.0,28976,True,20.0,True,JACKSONS CORNERS,MO,733922.0,Populated Place,Sullivan,40.2772398,-93.1127096,40.2772398,-93.1127096,Missouri,38.29739780113773,-92.40621321592816
JACKSON'S STATION,JACKSON'S STATION,MO,Daviess,1871.0,1882.0,True,5.0,28980,True,11.0,True,JACKSON STATION,MO,730067.0,Populated Place,Daviess,39.8808435,-93.8324411,39.8808435,-93.8324411,Missouri,38.29739780113773,-92.40621321592816
JACOBS,JACOBS,MO,Phelps,1900.0,1910.0,True,4.0,29010,True,10.0,True,JACOBS,MO,744561.0,Locale,Phelps,38.0872661,-91.5529341,38.0872661,-91.5529341,Missouri,38.29739780113773,-92.40621321592816
JAKES PRAIRIE,JAKES PRAIRIE,MO,Crawford,1830.0,1933.0,True,2.0,29041,True,103.0,True,JAKE PRAIRIE,MO,740961.0,Populated Place,Crawford,38.1633784,-91.5112681,38.1633784,-91.5112681,Missouri,38.29739780113773,-92.40621321592816
JAMES BAYOU,JAMES BAYOU,MO,Mississippi,1854.0,1894.0,False,4.0,29057,True,40.0,True,JAMES BAYOU,MO,767023.0,Civil,Mississippi,36.6403359,-89.2756084,36.6403359,-89.2756084,Missouri,38.29739780113773,-92.40621321592816
JAMESTOWN,JAMESTOWN,MO,St. Louis,1820.0,1826.0,True,7.0,29074,True,6.0,True,JAMESTOWN,MO,2469422.0,School,St. Louis,38.8103,-90.2548,38.8103,-90.2548,Missouri,38.29739780113773,-92.40621321592816
JAMESVILLE,JAMESVILLE,MO,Stone,1895.0,1922.0,True,3.0,29088,True,27.0,True,JAMESVILLE,MO,740962.0,Populated Place,Stone,36.9600557,-93.3710219,36.9600557,-93.3710219,Missouri,38.29739780113773,-92.40621321592816
JANDON,JANDON,MO,Cass,1892.0,1898.0,True,5.0,29102,True,6.0,True,JAUDON,MO,729909.0,Populated Place,Cass,38.7594533,-94.5893994,38.7594533,-94.5893994,Missouri,38.29739780113773,-92.40621321592816
JANE,JANE,MO,McDonald,1882.0,1966.0,True,1.0,29103,True,84.0,True,JANE,MO,729907.0,Populated Place,McDonald,36.5472962,-94.3052108,36.5472962,-94.3052108,Missouri,38.29739780113773,-92.40621321592816
JAPAN,JAPAN,MO,Franklin,1860.0,1908.0,False,4.0,29115,True,48.0,True,JAPAN,MO,740963.0,Populated Place,Franklin,38.239215,-91.3059819,38.239215,-91.3059819,Missouri,38.29739780113773,-92.40621321592816
JARVIS,JARVIS,MO,Jefferson,1888.0,1900.0,True,5.0,29131,True,12.0,True,JARVIS,MO,720264.0,Populated Place,Jefferson,38.2681107,-90.4942902,38.2681107,-90.4942902,Missouri,38.29739780113773,-92.40621321592816
JAUDON,JAUDON,MO,Cass,1898.0,1914.0,True,4.0,29147,True,16.0,True,JAUDON,MO,729909.0,Populated Place,Cass,38.7594533,-94.5893994,38.7594533,-94.5893994,Missouri,38.29739780113773,-92.40621321592816
JAYDEE,JAYDEE,MO,St. Francois,1899.0,1910.0,True,4.0,29166,True,11.0,True,JAYDEE,MO,756959.0,Locale,St. Francois,37.9261634,-90.41679,37.9261634,-90.41679,Missouri,38.29739780113773,-92.40621321592816
JAYWYE,JAYWYE,MO,New Madrid,1941.0,1966.0,True,1.0,29173,True,25.0,True,JAYWYE,MO,740964.0,Populated Place,New Madrid,36.4825621,-89.7011923,36.4825621,-89.7011923,Missouri,38.29739780113773,-92.40621321592816
JEFF,JEFF,MO,Oregon,1884.0,1914.0,True,4.0,29189,True,30.0,True,JEFF,MO,740965.0,Populated Place,Oregon,36.5075622,-91.3881924,36.5075622,-91.3881924,Missouri,38.29739780113773,-92.40621321592816
JEFFERSON BARRACKS,JEFFERSON BARRACKS,MO,St. Louis,1828.0,1901.0,False,2.0,29219,True,73.0,True,JEFFERSON BARRACKS,MO,765698.0,Populated Place,St. Louis,38.5028308,-90.2803928,38.5028308,-90.2803928,Missouri,38.29739780113773,-92.40621321592816
JEFFRIESBURGH,JEFFRIESBURGH,MO,Franklin,1857.0,1942.0,True,2.0,29245,True,85.0,True,JEFFRIESBURG,MO,720286.0,Populated Place,Franklin,38.440329,-91.0882013,38.440329,-91.0882013,Missouri,38.29739780113773,-92.40621321592816
JENKINS,JENKINS,MO,Barry,1883.0,1965.0,True,1.0,29262,True,82.0,True,JENKINS,MO,720287.0,Populated Place,Barry,36.778673,-93.6860286,36.778673,-93.6860286,Missouri,38.29739780113773,-92.40621321592816
JENNINGS,JENNINGS,MO,St. Louis,1874.0,1901.0,True,2.0,29287,True,27.0,True,JENNINGS,MO,2469259.0,Post Office,St. Louis,38.7412886,-90.2510942,38.7412886,-90.2510942,Missouri,38.29739780113773,-92.40621321592816
JERICO,JERIC(H)O,MO,Cedar,1882.0,1905.0,True,2.0,29306,True,23.0,True,JERICO,MO,729910.0,Populated Place,Cedar,37.6222649,-94.0085518,37.6222649,-94.0085518,Missouri,38.29739780113773,-92.40621321592816
