name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
ARQUITT,ARQUITT,IA,Dubuque,1891.0,1896.0,True,6.0,66040,True,5.0,True,ARQUITT,DUBUQUE,IA,2001412.0,Post Office,Arquitt Post Office (historical),Dubuque,42.4624998,-91.0029109,340.0,1.0,42.4624998,-91.0029109,Iowa,41.92312560548421,-93.1251007552586
ROLLAG,ROLLAG,MN,Clay,1880.0,1929.0,True,2.0,110411,True,49.0,True,ROLLAG,CLAY,MN,2080772.0,Post Office,Rollag Post Office (historical),Clay,46.74,-96.23778,416.0,1.0,46.74,-96.23778,Minnesota,45.838668873886334,-94.26161293179725
DYSINGER,DYSINGER,NY,Niagara,1886.0,1901.0,True,5.0,16503,True,15.0,True,DYSINGER,NIAGARA,NY,948901.0,Populated Place,Dysinger,Niagara,43.1339469,-78.5741941,190.0,1.0,43.1339469,-78.5741941,New York,42.62246135933227,-75.57093866626391
SPRAGUE,SPRAGUE,AL,Montgomery,1892.0,1986.0,False,1.0,54547,True,94.0,True,SPRAGUE,MONTGOMERY,AL,127206.0,Populated Place,Sprague,Montgomery,32.132923,-86.2699658,78.0,1.0,32.132923,-86.2699658,Alabama,33.03209749119171,-86.72512276024179
COLLEGEDALE,COLLEGEDALE,MT,Lewis & Clark,1900.0,1900.0,True,7.0,131852,True,0.0,True,COLLEGEDALE,LEWIS AND CLARK,MT,1789211.0,Post Office,Collegedale Post Office (historical),Lewis and Clark,46.66021,-112.0083,1132.0,1.0,46.66021,-112.0083,Montana,47.00211326959847,-109.90853677501592
WIMER,WIMER,OR,Jackson,1887.0,1909.0,True,5.0,165280,True,22.0,True,WIMER,JACKSON,OR,1166193.0,Post Office,Wimer Post Office (historical),Jackson,42.53873,-123.1489,343.0,1.0,42.53873,-123.1489,Oregon,44.44548039933444,-121.82370232945092
ENTERPRISE,ENTERPRISE,MO,McDonald,1842.0,1875.0,False,5.0,18584,True,33.0,True,ENTERPRISE,MCDONALD,MO,739377.0,Populated Place,Enterprise (historical),McDonald,36.6722937,-94.6085566,245.0,1.0,36.6722937,-94.6085566,Missouri,38.29739780113773,-92.40621321592816
TUNGSTEN,TUNGSTEN,NV,Pershing,1944.0,1962.0,True,2.0,162428,True,18.0,True,TUNGSTEN,PERSHING,NV,864863.0,Post Office,Tungsten Post Office (historical),Pershing,40.77907,-118.1251,1430.0,1.0,40.77907,-118.1251,Nevada,39.29768467980296,-116.98912003284072
NEWARK,NEWARK,VA,Louisa,1820.0,1840.0,True,7.0,102271,True,20.0,True,NEWARK,LOUISA,VA,1759828.0,Post Office,Newark Post Office,Louisa,38.05153,-78.07278,159.0,1.0,38.05153,-78.07278,Virginia,37.59297044544598,-78.73498313891332
MARBLE CANYON,MARBLE CANYON,AZ,Coconino,1927.0,1965.0,False,1.0,147574,True,38.0,True,MARBLE CANYON,COCONINO,AZ,25252.0,Populated Place,Marble Canyon,Coconino,36.81554,-111.6377,1089.0,1.0,36.81554,-111.6377,Arizona,33.54288046460177,-111.52553561946904
JIM,JIM,WV,Wyoming,1943.0,1947.0,True,1.0,91585,True,4.0,True,JIM,WYOMING,WV,1741442.0,Post Office,Jim Post Office,Wyoming,37.59561,-81.63487,360.0,1.0,37.59561,-81.63487,West Virginia,38.621691901095794,-80.8000481173913
SUNLAND,SUNLAND,NV,Mineral,1911.0,1912.0,True,8.0,160717,True,1.0,True,SUNLAND,MINERAL,NV,864603.0,Post Office,Sunland Post Office,Mineral,37.97965,-118.3215,2173.0,1.0,37.97965,-118.3215,Nevada,39.29768467980296,-116.98912003284072
HAINS CITY,HAINS CITY,FL,Polk,1885.0,1888.0,True,4.0,24565,True,3.0,True,HAINES CITY,POLK,FL,2768207.0,Post Office,Haines City Post Office,Polk,28.0852134,-81.6211546,67.0,0.9,28.0852134,-81.6211546,Florida,29.149179605277045,-82.70831202058048
NORTH RAISINVILLE,NORTH RAISINVILLE,MI,Monroe,1838.0,1879.0,True,7.0,102958,True,41.0,True,NORTH RAISINVILLE,MONROE,MI,2438725.0,Post Office,North Raisinville Post Office (historical),Monroe,41.93333,-83.46472,188.0,1.0,41.93333,-83.46472,Michigan,43.64460033559263,-84.97948272513034
FISH HOUSE,FISH HOUSE,NJ,Camden,1886.0,1924.0,True,3.0,20054,True,38.0,True,FISH HOUSE,CAMDEN,NJ,875869.0,Populated Place,Fish House,Camden,39.9742792,-75.0646174,7.0,1.0,39.9742792,-75.0646174,New Jersey,40.32415021333333,-74.61807680235295
FRANKFORT,FRANKFORT,NE,Knox,1859.0,1881.0,True,7.0,137775,True,22.0,True,FRANKFORT,KNOX,NE,829383.0,Cemetery,Frankfort Cemetery,Knox,42.8019,-97.54331,438.0,1.0,42.8019,-97.54331,Nebraska,41.26900677053825,-98.51318587346552
