e,country,city,line,start_year,end_year,length,tunnel_per,stations,cost,currency,year,real_cost,cost_km_millions
8210.0,EG,Cairo,Line 3 Phase 1,2006.0,2012.0,4.3,100.0,5.0,4200.0,EGP,2009.0,3000,697.6744186
8218.0,EG,Cairo,Line 4 (4 Phases),2019.0,2020.0,19.0,100.0,17.0,3600.0,USD,2019.0,12960,682.1052632
8224.0,EG,Cairo,Line 6,2017.0,2020.0,21.0,65.24,24.0,4000.0,USD,2017.0,12400,590.4761905
8225.0,KW,Kuwait City,Kuwait Metro,2020.0,2025.0,160.0,35.0,68.0,20000.0,USD,2020.0,30400,190.0
9459.0,UZ,Tashkent,Sergeli Line,2017.0,2020.0,7.1,0.0,6.0,142.0,USD,2018.0,711,100.1408451
9460.0,UZ,Tashkent,Yunusabad Line extension,2017.0,2020.0,2.9,100.0,2.0,125.0,USD,2018.0,624,215.1724138
9461.0,CN,Shanghai,Line 15,2015.0,2020.0,42.3,100.0,30.0,47650.0,CNY,2014.0,12676.24,299.67
9462.0,CN,Shanghai,Line 14,2016.0,2020.0,38.514,100.0,31.0,57686.0,CNY,2013.0,15744.00,408.79
9486.0,CN,Guangzhou,Line 13 Phase 1,2013.0,2017.0,27.03,100.0,11.0,19038.0,CNY,2013.0,5195.96,192.23
9491.0,CN,Guiyang,Line 1 Phase 1,2013.0,2017.0,34.3,84.55,25.0,19370.0,CNY,2010.0,5818.75,169.64
9492.0,CN,Wuhan,Line 4 Phase 1,2009.0,2020.0,15.4,100.0,15.0,9400.0,CNY,2009.0,2983.18,193.71
9493.0,CN,Chengdu,Line 8 Phase 1,2016.0,2020.0,27.4,100.0,22.0,21863.0,CNY,2016.0,5225.38,190.71
9494.0,CN,Chengdu,Line 9 Phase 1,2016.0,2020.0,22.2,100.0,13.0,20253.0,CNY,2017.0,4824.29,217.31
9499.0,CN,Chengdu,Line 10 Phase 2,2016.0,2029.0,26.7,38.95,9.0,13156.0,CNY,2016.0,3144.36,117.77
9500.0,TR,Istanbul,M3 Phase 2,2015.0,2023.0,8.4,100.0,7.0,333.0,USD,2019.0,1032.3,122.89
9501.0,TR,Istanbul,M4 Phase 3,2015.0,2020.0,7.5,100.0,4.0,170.0,EUR,2018.0,595,79.33
9502.0,TR,Istanbul,M8,2016.0,2021.0,14.3,100.0,11.0,635.0,USD,2019.0,1968.5,137.66
9507.0,TR,Istanbul,M5 Phase 2-M13,2016.0,2022.0,17.8,100.0,14.0,657.0,USD,2019.0,2036.7,114.42
9508.0,TR,Istanbul,M12,2017.0,2022.0,13.0,100.0,9.0,922.0,USD,2020.0,3411.4,262.42
9509.0,TR,Istanbul,M11 Phase 1,2016.0,2021.0,37.5,100.0,9.0,1130.0,USD,2019.0,3503,93.41
9510.0,TR,Istanbul,M11 Phase 2,2019.0,2022.0,32.0,100.0,7.0,916.0,USD,2020.0,3389.2,105.91
9459.0,UZ,Tashkent,Sergeli Line,2017.0,2020.0,7.1,0.0,6.0,142.0,USD,2018.0,711,100.1408451
9460.0,UZ,Tashkent,Yunusabad Line extension,2017.0,2020.0,2.9,100.0,2.0,125.0,USD,2018.0,624,215.1724138
