name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
SINK BROOK,SINK BROOK,MI,Allegan,1861.0,1864.0,True,8.0,113642,True,3.0,True,SINK BROOK,ALLEGAN,MI,2574369.0,Post Office,Sink Brook Post Office,Allegan,42.67256,-86.00092,196.0,1.0,42.67256,-86.00092,Michigan,43.64460033559263,-84.97948272513034
CANTEY,CANTEY,SC,Kershaw,1884.0,1921.0,True,3.0,8798,True,37.0,True,CANTEY,KERSHAW,SC,1247151.0,Populated Place,Cantey,Kershaw,34.3445939,-80.6784123,79.0,1.0,34.3445939,-80.6784123,South Carolina,34.12136880118953,-81.13033261165741
RUNS,RUNS,SC,Aiken,1880.0,1888.0,False,7.0,50086,True,8.0,True,RUNS,AIKEN,SC,1250488.0,Church,Runs Church,Aiken,33.4098626,-81.8292794,104.0,,33.4098626,-81.8292794,South Carolina,34.12136880118953,-81.13033261165741
SMILE,SMILE,KY,Rowan,1913.0,1975.0,True,1.0,113919,True,62.0,True,SMILE,ROWAN,KY,2127215.0,Post Office,Smile Post Office (historical),Rowan,38.25686,-83.49134,264.0,1.0,38.25686,-83.49134,Kentucky,37.61319005289673,-84.68927476511334
CAMPTON,CAMPTON,GA,Walton,1888.0,1965.0,True,1.0,8626,True,77.0,True,CAMPTON,WALTON,GA,354976.0,Populated Place,Campton,Walton,33.8717791,-83.7201728,282.0,1.0,33.8717791,-83.7201728,Georgia,33.12832351739887,-83.74456450104394
BOSCOBEL,BOSCOBEL,VA,Goochland,1907.0,1927.0,True,3.0,70005,True,20.0,True,BOSCOBEL,GOOCHLAND,VA,1495286.0,Populated Place,Boscobel,Goochland,37.5990359,-77.7313823,54.0,1.0,37.5990359,-77.7313823,Virginia,37.59297044544598,-78.73498313891332
HAVILLAH,HAVILLAH,WA,Okanogan,1905.0,1944.0,True,2.0,140789,True,39.0,True,HAVILLAH,OKANOGAN,WA,1520610.0,Populated Place,Havillah,Okanogan,48.82794,-119.2042,1069.0,1.0,48.82794,-119.2042,Washington,47.38130745950554,-121.08638959931798
GIBBS,GIBBS,ID,Kootenai,1910.0,1954.0,False,1.0,138628,True,44.0,True,GIBBS,KOOTENAI,ID,396547.0,Populated Place,Gibbs,Kootenai,47.69074,-116.8038,655.0,1.0,47.69074,-116.8038,Idaho,44.65880326625387,-114.70573529411764
OLIVE,OLIVE,OH,Gallia,1863.0,1884.0,True,6.0,103913,True,21.0,True,OLIVE,GALLIA,OH,1964067.0,Cemetery,Olive Cemetery,Gallia,38.75184,-82.43565,213.0,1.0,38.75184,-82.43565,Ohio,40.152075305199205,-82.69208475815202
RIO BONITO,RIO BONITO,CA,Butte,1909.0,1914.0,True,5.0,156064,True,5.0,True,RIO BONITO,BUTTE,CA,1658456.0,Populated Place,Rio Bonito,Butte,39.41517,-121.6539,37.0,1.0,39.41517,-121.6539,California,37.39580678039404,-120.4122934166266
CARROLL,CARROLL,MT,Fergus,1874.0,1882.0,False,8.0,130011,True,8.0,True,CARROLL,FERGUS,MT,1722812.0,Post Office,Carroll Post Office (historical),Fergus,47.57361,-108.3735,686.0,1.0,47.57361,-108.3735,Montana,47.00211326959847,-109.90853677501592
MADGE,MADGE,TN,Shelby,1899.0,1905.0,True,6.0,34676,True,6.0,True,MADGE,SHELBY,TN,1315454.0,Populated Place,Madge,Shelby,35.3811955,-89.6667464,95.0,1.0,35.3811955,-89.6667464,Tennessee,35.90304088108576,-85.8669100795989
NOGGLE,NOGGLE,OH,Darke,1894.0,1910.0,True,3.0,102656,True,16.0,True,NOGGLE,DARKE,OH,1055503.0,Populated Place,Noggle,Darke,40.0131,-84.72412,332.0,1.0,40.0131,-84.72412,Ohio,40.152075305199205,-82.69208475815202
PHOEBUS,PHOEBUS,VA,Elizabeth City,1885.0,1953.0,True,1.0,106127,True,68.0,True,PHOEBUS,HAMPTON,VA,1779612.0,Post Office,Phoebus Post Office,Hampton (city),37.01735,-76.32124,4.0,1.0,37.01735,-76.32124,Virginia,37.59297044544598,-78.73498313891332
COOSAW,COOSAW,SC,Beaufort,1877.0,1895.0,True,6.0,12527,True,18.0,True,COOSAW,BEAUFORT,SC,1227887.0,Populated Place,Coosaw,Beaufort,32.5451864,-80.7734397,4.0,1.0,32.5451864,-80.7734397,South Carolina,34.12136880118953,-81.13033261165741
ELDRIDGE,ELDRIDGE,ND,Stutsman,1880.0,1982.0,True,1.0,135511,True,102.0,True,ELDRIDGE,STUTSMAN,ND,1028841.0,Populated Place,Eldridge,Stutsman,46.90249,-98.85177,471.0,1.0,46.90249,-98.85177,North Dakota,47.49648331707317,-99.80502257317072
