name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
CALVIN,CALVIN,MO,Carroll,1899.0,1902.0,True,6.0,8451,True,3.0,True,CALVIN,CARROLL,MO,740245.0,Locale,Calvin (historical),Carroll,39.2566883,-93.3832643,199.0,1.0,39.2566883,-93.3832643,Missouri,38.29739780113773,-92.40621321592816
CALVY,CALVY,MO,Franklin,1854.0,1908.0,False,6.0,8459,True,54.0,True,CALVY,FRANKLIN,MO,740104.0,Populated Place,Calvy,Franklin,38.3475526,-90.7962437,200.0,1.0,38.3475526,-90.7962437,Missouri,38.29739780113773,-92.40621321592816
CALWOOD,CALWOOD,MO,Callaway,1874.0,1922.0,True,3.0,8460,True,48.0,True,CALWOOD,CALLAWAY,MO,729289.0,Populated Place,Calwood,Callaway,38.9203186,-91.8526756,248.0,1.0,38.9203186,-91.8526756,Missouri,38.29739780113773,-92.40621321592816
CAMBRIDGE,CAMBRIDGE,MO,Saline,1845.0,1903.0,True,4.0,8475,True,58.0,True,CAMBRIDGE,SALINE,MO,715226.0,Populated Place,Cambridge,Saline,39.2578051,-92.9488017,210.0,1.0,39.2578051,-92.9488017,Missouri,38.29739780113773,-92.40621321592816
CAMP BRANCH,CAMP BRANCH,MO,Pettis,1887.0,1904.0,True,5.0,8538,True,17.0,True,CAMP BRANCH,PETTIS,MO,715242.0,Locale,Camp Branch,Pettis,38.6447387,-93.3607637,278.0,1.0,38.6447387,-93.3607637,Missouri,38.29739780113773,-92.40621321592816
CAMP BRANCH,CAMP BRANCH,MO,Warren,1853.0,1859.0,True,5.0,8539,True,6.0,True,CAMP BRANCH,WARREN,MO,715252.0,Cemetery,Camp Branch Cemetery,Warren,38.8450378,-91.2359802,269.0,1.0,38.8450378,-91.2359802,Missouri,38.29739780113773,-92.40621321592816
CAMPBELLTON,CAMPBELLTON,MO,Franklin,1854.0,1907.0,True,4.0,8603,True,53.0,True,CAMPBELLTON,FRANKLIN,MO,736287.0,Populated Place,Campbellton,Franklin,38.5400505,-91.1607056,236.0,1.0,38.5400505,-91.1607056,Missouri,38.29739780113773,-92.40621321592816
CANAAN,CANAAN,MO,Gasconade,1854.0,1932.0,True,2.0,8640,True,78.0,True,CANAAN,GASCONADE,MO,715325.0,Populated Place,Canaan,Gasconade,38.3122684,-91.5590497,319.0,1.0,38.3122684,-91.5590497,Missouri,38.29739780113773,-92.40621321592816
CANADY,CANADY,MO,Pemiscot,1904.0,1927.0,True,3.0,8672,True,23.0,True,CANADY,PEMISCOT,MO,736288.0,Locale,Canady,Pemiscot,36.1645138,-89.7536935,80.0,1.0,36.1645138,-89.7536935,Missouri,38.29739780113773,-92.40621321592816
CANE CREEK,CANE CREEK,MO,Butler,1840.0,1906.0,False,4.0,8718,True,66.0,True,CANE CREEK,BUTLER,MO,749190.0,School,Cane Creek School (historical),Butler,36.816721,-90.5248372,111.0,1.0,36.816721,-90.5248372,Missouri,38.29739780113773,-92.40621321592816
CANE HILL,CANE HILL,MO,Cedar,1858.0,1918.0,False,3.0,8727,True,60.0,True,CANE HILL,CEDAR,MO,715349.0,Populated Place,Cane Hill,Cedar,37.57893,-93.7315975,299.0,1.0,37.57893,-93.7315975,Missouri,38.29739780113773,-92.40621321592816
CANEY,CANEY,MO,Ozark,1869.0,1924.0,False,3.0,8739,True,55.0,True,CANEY,OZARK,MO,733815.0,School,Caney School (historical),Ozark,36.7214493,-92.3721054,277.0,1.0,36.7214493,-92.3721054,Missouri,38.29739780113773,-92.40621321592816
